Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa);xCO2
Dataset 695;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;C4H10 + CO2 + H2O in Hydrate sI + Aqueous Liquid + Vapor;273.7;1358.3;0.986
Dataset 695;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;C4H10 + CO2 + H2O in Hydrate sI + Aqueous Liquid + Vapor;273.7;1323.8;0.993
Dataset 695;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;C4H10 + CO2 + H2O in Hydrate sI + Aqueous Liquid + Vapor;275.9;1723.7;0.983
Dataset 695;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;C4H10 + CO2 + H2O in Hydrate sI + Aqueous Liquid + Vapor;275.9;1703;0.99
Dataset 695;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;C4H10 + CO2 + H2O in Hydrate sI + Aqueous Liquid + Vapor;277.6;2123.6;0.982
Dataset 695;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;C4H10 + CO2 + H2O in Hydrate sI + Aqueous Liquid + Vapor;277.6;2082.2;0.99
Dataset 695;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;C4H10 + CO2 + H2O in Hydrate sI + Aqueous Liquid + Vapor;279.3;2606.2;0.984
Dataset 695;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;C4H10 + CO2 + H2O in Hydrate sI + Aqueous Liquid + Vapor;279.3;2558;0.996
Dataset 695;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;C4H10 + CO2 + H2O in Hydrate sI + Aqueous Liquid + Vapor;280.9;3171.6;0.979
Dataset 695;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;C4H10 + CO2 + H2O in Hydrate sI + Aqueous Liquid + Vapor;280.9;3157.8;0.988
