Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa);xCH4;xC3H8
Dataset 745;MEASUREMENT OF MULTIPHASE GAS HYDRATE PHASE EQUILIBRIA: EFFECT OF INHIBITORS AND HEAVIER HYDROCARBON COMPONENTS;Patil, S. L.;Master of Science Thesis, University of Alaska, Fairbanks, Alaska;1987;CH4 + C3H8 + C4H10 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid + Vapor;276.15;220.64;0.2608;0
Dataset 745;MEASUREMENT OF MULTIPHASE GAS HYDRATE PHASE EQUILIBRIA: EFFECT OF INHIBITORS AND HEAVIER HYDROCARBON COMPONENTS;Patil, S. L.;Master of Science Thesis, University of Alaska, Fairbanks, Alaska;1987;CH4 + C3H8 + C4H10 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid + Vapor;276.15;248.22;0.155;0.106
Dataset 745;MEASUREMENT OF MULTIPHASE GAS HYDRATE PHASE EQUILIBRIA: EFFECT OF INHIBITORS AND HEAVIER HYDROCARBON COMPONENTS;Patil, S. L.;Master of Science Thesis, University of Alaska, Fairbanks, Alaska;1987;CH4 + C3H8 + C4H10 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid + Vapor;276.15;262.01;0.123;0.194
Dataset 745;MEASUREMENT OF MULTIPHASE GAS HYDRATE PHASE EQUILIBRIA: EFFECT OF INHIBITORS AND HEAVIER HYDROCARBON COMPONENTS;Patil, S. L.;Master of Science Thesis, University of Alaska, Fairbanks, Alaska;1987;CH4 + C3H8 + C4H10 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid + Vapor;276.15;303.38;0;0.369
Dataset 745;MEASUREMENT OF MULTIPHASE GAS HYDRATE PHASE EQUILIBRIA: EFFECT OF INHIBITORS AND HEAVIER HYDROCARBON COMPONENTS;Patil, S. L.;Master of Science Thesis, University of Alaska, Fairbanks, Alaska;1987;CH4 + C3H8 + C4H10 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid + Vapor;279.15;458.5175;0.2009;0.0852
Dataset 745;MEASUREMENT OF MULTIPHASE GAS HYDRATE PHASE EQUILIBRIA: EFFECT OF INHIBITORS AND HEAVIER HYDROCARBON COMPONENTS;Patil, S. L.;Master of Science Thesis, University of Alaska, Fairbanks, Alaska;1987;CH4 + C3H8 + C4H10 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid + Vapor;279.15;495.061;0.0924;0.2793
Dataset 745;MEASUREMENT OF MULTIPHASE GAS HYDRATE PHASE EQUILIBRIA: EFFECT OF INHIBITORS AND HEAVIER HYDROCARBON COMPONENTS;Patil, S. L.;Master of Science Thesis, University of Alaska, Fairbanks, Alaska;1987;CH4 + C3H8 + C4H10 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid + Vapor;279.15;543.326;0.1281;0.5418
Dataset 745;MEASUREMENT OF MULTIPHASE GAS HYDRATE PHASE EQUILIBRIA: EFFECT OF INHIBITORS AND HEAVIER HYDROCARBON COMPONENTS;Patil, S. L.;Master of Science Thesis, University of Alaska, Fairbanks, Alaska;1987;CH4 + C3H8 + C4H10 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid + Vapor;279.15;576.422;0.1275;0.7371
Dataset 745;MEASUREMENT OF MULTIPHASE GAS HYDRATE PHASE EQUILIBRIA: EFFECT OF INHIBITORS AND HEAVIER HYDROCARBON COMPONENTS;Patil, S. L.;Master of Science Thesis, University of Alaska, Fairbanks, Alaska;1987;CH4 + C3H8 + C4H10 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid + Vapor;279.15;606.76;0.1021;0.8511
Dataset 745;MEASUREMENT OF MULTIPHASE GAS HYDRATE PHASE EQUILIBRIA: EFFECT OF INHIBITORS AND HEAVIER HYDROCARBON COMPONENTS;Patil, S. L.;Master of Science Thesis, University of Alaska, Fairbanks, Alaska;1987;CH4 + C3H8 + C4H10 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid + Vapor;281.15;621.929;0.2423;0.0711
Dataset 745;MEASUREMENT OF MULTIPHASE GAS HYDRATE PHASE EQUILIBRIA: EFFECT OF INHIBITORS AND HEAVIER HYDROCARBON COMPONENTS;Patil, S. L.;Master of Science Thesis, University of Alaska, Fairbanks, Alaska;1987;CH4 + C3H8 + C4H10 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid + Vapor;281.15;668.815;0.1874;0.3931
Dataset 745;MEASUREMENT OF MULTIPHASE GAS HYDRATE PHASE EQUILIBRIA: EFFECT OF INHIBITORS AND HEAVIER HYDROCARBON COMPONENTS;Patil, S. L.;Master of Science Thesis, University of Alaska, Fairbanks, Alaska;1987;CH4 + C3H8 + C4H10 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid + Vapor;281.15;723.975;0.15;0.5689
Dataset 745;MEASUREMENT OF MULTIPHASE GAS HYDRATE PHASE EQUILIBRIA: EFFECT OF INHIBITORS AND HEAVIER HYDROCARBON COMPONENTS;Patil, S. L.;Master of Science Thesis, University of Alaska, Fairbanks, Alaska;1987;CH4 + C3H8 + C4H10 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid + Vapor;281.15;773.619;0.1258;0.8139
