Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa);xH2S
Dataset 227;GAS HYDRATES of  HYDROGEN SULFIDE-METHANE MIXTURES;Noaker, L. J. and Katz, D. L.[Donald L.];Petrol. Trans. AIME 201, 237-239;1951;CH4 + H2S + H2O in Hydrate + Aqueous Liquid + Vapor;288.7;4826;0.116
Dataset 227;GAS HYDRATES of  HYDROGEN SULFIDE-METHANE MIXTURES;Noaker, L. J. and Katz, D. L.[Donald L.];Petrol. Trans. AIME 201, 237-239;1951;CH4 + H2S + H2O in Hydrate + Aqueous Liquid + Vapor;284.3;2586;0.116
Dataset 227;GAS HYDRATES of  HYDROGEN SULFIDE-METHANE MIXTURES;Noaker, L. J. and Katz, D. L.[Donald L.];Petrol. Trans. AIME 201, 237-239;1951;CH4 + H2S + H2O in Hydrate + Aqueous Liquid + Vapor;282.3;3034;0.0715
Dataset 227;GAS HYDRATES of  HYDROGEN SULFIDE-METHANE MIXTURES;Noaker, L. J. and Katz, D. L.[Donald L.];Petrol. Trans. AIME 201, 237-239;1951;CH4 + H2S + H2O in Hydrate + Aqueous Liquid + Vapor;287;4792;0.0715
Dataset 227;GAS HYDRATES of  HYDROGEN SULFIDE-METHANE MIXTURES;Noaker, L. J. and Katz, D. L.[Donald L.];Petrol. Trans. AIME 201, 237-239;1951;CH4 + H2S + H2O in Hydrate + Aqueous Liquid + Vapor;290.1;6791;0.0715
Dataset 227;GAS HYDRATES of  HYDROGEN SULFIDE-METHANE MIXTURES;Noaker, L. J. and Katz, D. L.[Donald L.];Petrol. Trans. AIME 201, 237-239;1951;CH4 + H2S + H2O in Hydrate + Aqueous Liquid + Vapor;279.3;2206;0.0715
Dataset 227;GAS HYDRATES of  HYDROGEN SULFIDE-METHANE MIXTURES;Noaker, L. J. and Katz, D. L.[Donald L.];Petrol. Trans. AIME 201, 237-239;1951;CH4 + H2S + H2O in Hydrate + Aqueous Liquid + Vapor;290.1;6378;0.0715
Dataset 227;GAS HYDRATES of  HYDROGEN SULFIDE-METHANE MIXTURES;Noaker, L. J. and Katz, D. L.[Donald L.];Petrol. Trans. AIME 201, 237-239;1951;CH4 + H2S + H2O in Hydrate + Aqueous Liquid + Vapor;278.7;2827;0.0311
Dataset 227;GAS HYDRATES of  HYDROGEN SULFIDE-METHANE MIXTURES;Noaker, L. J. and Katz, D. L.[Donald L.];Petrol. Trans. AIME 201, 237-239;1951;CH4 + H2S + H2O in Hydrate + Aqueous Liquid + Vapor;282.9;4275;0.0311
Dataset 227;GAS HYDRATES of  HYDROGEN SULFIDE-METHANE MIXTURES;Noaker, L. J. and Katz, D. L.[Donald L.];Petrol. Trans. AIME 201, 237-239;1951;CH4 + H2S + H2O in Hydrate + Aqueous Liquid + Vapor;287.6;6653;0.0311
Dataset 227;GAS HYDRATES of  HYDROGEN SULFIDE-METHANE MIXTURES;Noaker, L. J. and Katz, D. L.[Donald L.];Petrol. Trans. AIME 201, 237-239;1951;CH4 + H2S + H2O in Hydrate + Aqueous Liquid + Vapor;276.5;2034;0.0311
Dataset 227;GAS HYDRATES of  HYDROGEN SULFIDE-METHANE MIXTURES;Noaker, L. J. and Katz, D. L.[Donald L.];Petrol. Trans. AIME 201, 237-239;1951;CH4 + H2S + H2O in Hydrate + Aqueous Liquid + Vapor;278.4;3241;0.0169
Dataset 227;GAS HYDRATES of  HYDROGEN SULFIDE-METHANE MIXTURES;Noaker, L. J. and Katz, D. L.[Donald L.];Petrol. Trans. AIME 201, 237-239;1951;CH4 + H2S + H2O in Hydrate + Aqueous Liquid + Vapor;282.3;4619;0.0169
Dataset 227;GAS HYDRATES of  HYDROGEN SULFIDE-METHANE MIXTURES;Noaker, L. J. and Katz, D. L.[Donald L.];Petrol. Trans. AIME 201, 237-239;1951;CH4 + H2S + H2O in Hydrate + Aqueous Liquid + Vapor;284.8;6688;0.0169
Dataset 227;GAS HYDRATES of  HYDROGEN SULFIDE-METHANE MIXTURES;Noaker, L. J. and Katz, D. L.[Donald L.];Petrol. Trans. AIME 201, 237-239;1951;CH4 + H2S + H2O in Hydrate + Aqueous Liquid + Vapor;287.6;2103;0.222
Dataset 227;GAS HYDRATES of  HYDROGEN SULFIDE-METHANE MIXTURES;Noaker, L. J. and Katz, D. L.[Donald L.];Petrol. Trans. AIME 201, 237-239;1951;CH4 + H2S + H2O in Hydrate + Aqueous Liquid + Vapor;295.4;5068;0.222
Dataset 227;GAS HYDRATES of  HYDROGEN SULFIDE-METHANE MIXTURES;Noaker, L. J. and Katz, D. L.[Donald L.];Petrol. Trans. AIME 201, 237-239;1951;CH4 + H2S + H2O in Hydrate + Aqueous Liquid + Vapor;279.8;1034;0.222
Dataset 227;GAS HYDRATES of  HYDROGEN SULFIDE-METHANE MIXTURES;Noaker, L. J. and Katz, D. L.[Donald L.];Petrol. Trans. AIME 201, 237-239;1951;CH4 + H2S + H2O in Hydrate + Aqueous Liquid + Vapor;281.5;2068;0.125
Dataset 227;GAS HYDRATES of  HYDROGEN SULFIDE-METHANE MIXTURES;Noaker, L. J. and Katz, D. L.[Donald L.];Petrol. Trans. AIME 201, 237-239;1951;CH4 + H2S + H2O in Hydrate + Aqueous Liquid + Vapor;287.3;3585;0.125
Dataset 227;GAS HYDRATES of  HYDROGEN SULFIDE-METHANE MIXTURES;Noaker, L. J. and Katz, D. L.[Donald L.];Petrol. Trans. AIME 201, 237-239;1951;CH4 + H2S + H2O in Hydrate + Aqueous Liquid + Vapor;292;5998;0.125
